"","region","strategy_code","variable","future_id","value"
"43","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fibers_shifted2023",0,0
"44","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fibers_shifted2024",0,0
"45","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits",0,6157343.50471385
"46","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2015",0,0
"47","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2016",0,0
"48","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2017",0,0
"49","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2018",0,0
"50","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2019",0,0
"51","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2020",0,0
"52","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2021",0,0
"53","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2022",0,0
"54","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2023",0,0
"55","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:fruits_shifted2024",0,0
"56","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs",0,87394.4813819887
"57","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2015",0,0
"58","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2016",0,0
"59","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2017",0,0
"60","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2018",0,0
"61","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2019",0,0
"62","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2020",0,0
"63","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2021",0,0
"64","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2022",0,0
"65","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2023",0,0
"66","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:herbs_shifted2024",0,0
"67","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts",0,129943.872457244
"68","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2015",0,0
"69","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2016",0,0
"70","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2017",0,0
"71","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2018",0,0
"72","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2019",0,0
"73","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2020",0,0
"74","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2021",0,0
"75","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2022",0,0
"76","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2023",0,0
"77","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:nuts_shifted2024",0,0
"78","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:other_annual",0,83938.9257294495
