,fields_input
119,ef_enfu_combustion_tonne_co2_per_tj_fuel_other
120,ef_enfu_combustion_tonne_co2_per_tj_fuel_solar
121,ef_enfu_combustion_tonne_co2_per_tj_fuel_waste
122,ef_enfu_combustion_tonne_co2_per_tj_fuel_wind
123,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biofuels
124,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biogas
125,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biomass
126,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal
127,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal_deposits
128,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coke
129,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_crude
130,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_diesel
131,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_electricity
132,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_furnace_gas
133,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_gasoline
134,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_geothermal
135,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrocarbon_gas_liquids
136,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrogen
137,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydropower
138,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_kerosene
139,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas
140,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas_unprocessed
141,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_nuclear
142,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_ocean
143,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_oil
144,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_other
145,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_solar
146,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_waste
147,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_wind
148,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biofuels
149,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biogas
150,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biomass
151,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal
152,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal_deposits
153,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coke
154,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_crude
155,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_diesel
156,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_electricity
157,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_furnace_gas
158,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_gasoline
159,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_geothermal
160,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrocarbon_gas_liquids
161,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrogen
162,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydropower
163,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_kerosene
164,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas
165,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas_unprocessed
166,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_nuclear
167,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_ocean
168,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_oil
169,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_other
170,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_solar
171,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_waste
172,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_wind
173,ef_fgtv_distribution_tonne_ch4_per_m3_fuel_natural_gas
174,ef_fgtv_distribution_tonne_co2_per_m3_fuel_natural_gas
175,ef_fgtv_distribution_tonne_nmvoc_per_m3_fuel_natural_gas
176,ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_coal
177,ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_natural_gas
178,ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_oil
179,ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_coal
180,ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_natural_gas
181,ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_oil
182,ef_fgtv_production_flaring_tonne_n2o_per_m3_fuel_natural_gas
183,ef_fgtv_production_flaring_tonne_n2o_per_m3_fuel_oil
184,ef_fgtv_production_flaring_tonne_nmvoc_per_m3_fuel_natural_gas
185,ef_fgtv_production_flaring_tonne_nmvoc_per_m3_fuel_oil
186,ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_coal
187,ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_natural_gas
188,ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_oil
189,ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_coal
190,ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_natural_gas
191,ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_oil
192,ef_fgtv_production_fugitive_tonne_n2o_per_m3_fuel_oil
193,ef_fgtv_production_fugitive_tonne_nmvoc_per_m3_fuel_natural_gas
194,ef_fgtv_production_fugitive_tonne_nmvoc_per_m3_fuel_oil
195,ef_fgtv_production_venting_tonne_ch4_per_m3_fuel_coal
196,ef_fgtv_production_venting_tonne_ch4_per_m3_fuel_oil
197,ef_fgtv_production_venting_tonne_co2_per_m3_fuel_coal
198,ef_fgtv_production_venting_tonne_co2_per_m3_fuel_oil
199,ef_fgtv_production_venting_tonne_n2o_per_m3_fuel_oil
200,ef_fgtv_production_venting_tonne_nmvoc_per_m3_fuel_oil
201,ef_fgtv_transmission_tonne_ch4_per_m3_fuel_natural_gas
202,ef_fgtv_transmission_tonne_ch4_per_m3_fuel_oil
203,ef_fgtv_transmission_tonne_co2_per_m3_fuel_natural_gas
204,ef_fgtv_transmission_tonne_co2_per_m3_fuel_oil
205,ef_fgtv_transmission_tonne_n2o_per_m3_fuel_oil
206,ef_fgtv_transmission_tonne_nmvoc_per_m3_fuel_natural_gas
207,ef_fgtv_transmission_tonne_nmvoc_per_m3_fuel_oil
208,ef_frst_c_per_wood_products
209,ef_frst_forestfires_mangroves_co2
210,ef_frst_forestfires_primary_co2
211,ef_frst_forestfires_secondary_co2
212,ef_frst_forestmethane_mangroves_kt_ch4_ha
213,ef_frst_forestmethane_primary_kt_ch4_ha
214,ef_frst_forestmethane_secondary_kt_ch4_ha
215,ef_frst_sequestration_mangroves_kt_co2_ha
216,ef_frst_sequestration_primary_kt_co2_ha
217,ef_frst_sequestration_secondary_kt_co2_ha
218,ef_ippu_tonne_c2f6_per_mmm_gdp_product_use_ods_other
219,ef_ippu_tonne_c2f6_per_tonne_production_chemicals
220,ef_ippu_tonne_c2f6_per_tonne_production_electronics
221,ef_ippu_tonne_c2f6_per_tonne_production_metals
222,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration
223,ef_ippu_tonne_c2h3f3_per_tonne_production_chemicals
224,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_other
225,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration
226,ef_ippu_tonne_c2hf5_per_tonne_production_chemicals
227,ef_ippu_tonne_c3f8_per_tonne_production_chemicals
228,ef_ippu_tonne_c3f8_per_tonne_production_electronics
229,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_other
230,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_refrigeration
231,ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_other
232,ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_refrigeration
233,ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_other
234,ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_refrigeration
235,ef_ippu_tonne_c3hf7_per_tonne_production_chemicals
236,ef_ippu_tonne_c4f10_per_mmm_gdp_product_use_ods_other
237,ef_ippu_tonne_c4f10_per_tonne_production_chemicals
238,ef_ippu_tonne_c4f6_per_tonne_production_electronics
239,ef_ippu_tonne_c4f8o_per_tonne_production_electronics
240,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other
241,ef_ippu_tonne_c4h5f5_per_tonne_production_chemicals
242,ef_ippu_tonne_c5f12_per_tonne_production_chemicals
243,ef_ippu_tonne_c5f8_per_tonne_production_electronics
244,ef_ippu_tonne_c5h2f10_per_mmm_gdp_product_use_ods_other
245,ef_ippu_tonne_c6f14_per_mmm_gdp_product_use_ods_other
246,ef_ippu_tonne_c6f14_per_tonne_production_chemicals
247,ef_ippu_tonne_cc4f8_per_tonne_production_chemicals
248,ef_ippu_tonne_cc4f8_per_tonne_production_electronics
249,ef_ippu_tonne_cf4_per_mmm_gdp_product_use_ods_other
250,ef_ippu_tonne_cf4_per_tonne_production_chemicals
251,ef_ippu_tonne_cf4_per_tonne_production_electronics
252,ef_ippu_tonne_cf4_per_tonne_production_metals
253,ef_ippu_tonne_ch2f2_per_mmm_gdp_product_use_ods_refrigeration
254,ef_ippu_tonne_ch2f2_per_tonne_production_chemicals
255,ef_ippu_tonne_ch2f2_per_tonne_production_electronics
256,ef_ippu_tonne_ch2fchf2_per_mmm_gdp_product_use_ods_refrigeration
257,ef_ippu_tonne_ch3cci2f_per_mmm_gdp_product_use_ods_refrigeration
258,ef_ippu_tonne_ch3ccif2_per_mmm_gdp_product_use_ods_refrigeration
259,ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_other
260,ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_refrigeration
261,ef_ippu_tonne_ch3chf2_per_tonne_production_chemicals
262,ef_ippu_tonne_ch3f_per_tonne_production_electronics
263,ef_ippu_tonne_ch4_per_tonne_production_chemicals
264,ef_ippu_tonne_ch4_per_tonne_production_metals
265,ef_ippu_tonne_ch4_per_tonne_production_plastic
266,ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_other
267,ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_refrigeration
268,ef_ippu_tonne_chf2cf3_per_tonne_production_chemicals
269,ef_ippu_tonne_chf2chf2_per_mmm_gdp_product_use_ods_refrigeration
270,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_other
271,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_refrigeration
272,ef_ippu_tonne_chf3_per_tonne_production_chemicals
273,ef_ippu_tonne_chf3_per_tonne_production_electronics
274,ef_ippu_tonne_co2_per_tonne_product_use_product_use_lubricants
275,ef_ippu_tonne_co2_per_tonne_product_use_product_use_paraffin_wax
276,ef_ippu_tonne_co2_per_tonne_production_cement_clinker
277,ef_ippu_tonne_co2_per_tonne_production_chemicals
278,ef_ippu_tonne_co2_per_tonne_production_glass
279,ef_ippu_tonne_co2_per_tonne_production_lime_and_carbonite
280,ef_ippu_tonne_co2_per_tonne_production_metals
281,ef_ippu_tonne_co2_per_tonne_production_plastic
282,ef_ippu_tonne_n2o_per_mmm_gdp_other_product_manufacturing
283,ef_ippu_tonne_n2o_per_tonne_production_chemicals
284,ef_ippu_tonne_n2o_per_tonne_production_electronics
285,ef_ippu_tonne_nf3_per_tonne_production_chemicals
286,ef_ippu_tonne_nf3_per_tonne_production_electronics
287,ef_ippu_tonne_sf6_per_mmm_gdp_other_product_manufacturing
288,ef_ippu_tonne_sf6_per_tonne_production_chemicals
289,ef_ippu_tonne_sf6_per_tonne_production_electronics
290,ef_ippu_tonne_sf6_per_tonne_production_metals
291,ef_lndu_boc_wetlands_gg_ch4_ha
292,ef_lndu_conv_croplands_to_croplands_gg_co2_ha
293,ef_lndu_conv_croplands_to_forests_mangroves_gg_co2_ha
294,ef_lndu_conv_croplands_to_forests_primary_gg_co2_ha
295,ef_lndu_conv_croplands_to_forests_secondary_gg_co2_ha
296,ef_lndu_conv_croplands_to_grasslands_gg_co2_ha
297,ef_lndu_conv_croplands_to_other_gg_co2_ha
298,ef_lndu_conv_croplands_to_settlements_gg_co2_ha
299,ef_lndu_conv_croplands_to_wetlands_gg_co2_ha
300,ef_lndu_conv_forests_mangroves_to_croplands_gg_co2_ha
301,ef_lndu_conv_forests_mangroves_to_forests_mangroves_gg_co2_ha
302,ef_lndu_conv_forests_mangroves_to_forests_primary_gg_co2_ha
303,ef_lndu_conv_forests_mangroves_to_forests_secondary_gg_co2_ha
304,ef_lndu_conv_forests_mangroves_to_grasslands_gg_co2_ha
305,ef_lndu_conv_forests_mangroves_to_other_gg_co2_ha
306,ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha
307,ef_lndu_conv_forests_mangroves_to_wetlands_gg_co2_ha
308,ef_lndu_conv_forests_primary_to_croplands_gg_co2_ha
309,ef_lndu_conv_forests_primary_to_forests_mangroves_gg_co2_ha
310,ef_lndu_conv_forests_primary_to_forests_primary_gg_co2_ha
311,ef_lndu_conv_forests_primary_to_forests_secondary_gg_co2_ha
312,ef_lndu_conv_forests_primary_to_grasslands_gg_co2_ha
313,ef_lndu_conv_forests_primary_to_other_gg_co2_ha
314,ef_lndu_conv_forests_primary_to_settlements_gg_co2_ha
315,ef_lndu_conv_forests_primary_to_wetlands_gg_co2_ha
316,ef_lndu_conv_forests_secondary_to_croplands_gg_co2_ha
317,ef_lndu_conv_forests_secondary_to_forests_mangroves_gg_co2_ha
318,ef_lndu_conv_forests_secondary_to_forests_primary_gg_co2_ha
319,ef_lndu_conv_forests_secondary_to_forests_secondary_gg_co2_ha
320,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha
321,ef_lndu_conv_forests_secondary_to_other_gg_co2_ha
322,ef_lndu_conv_forests_secondary_to_settlements_gg_co2_ha
323,ef_lndu_conv_forests_secondary_to_wetlands_gg_co2_ha
324,ef_lndu_conv_grasslands_to_croplands_gg_co2_ha
325,ef_lndu_conv_grasslands_to_forests_mangroves_gg_co2_ha
326,ef_lndu_conv_grasslands_to_forests_primary_gg_co2_ha
327,ef_lndu_conv_grasslands_to_forests_secondary_gg_co2_ha
328,ef_lndu_conv_grasslands_to_grasslands_gg_co2_ha
329,ef_lndu_conv_grasslands_to_other_gg_co2_ha
330,ef_lndu_conv_grasslands_to_settlements_gg_co2_ha
331,ef_lndu_conv_grasslands_to_wetlands_gg_co2_ha
332,ef_lndu_conv_other_to_croplands_gg_co2_ha
333,ef_lndu_conv_other_to_forests_mangroves_gg_co2_ha
334,ef_lndu_conv_other_to_forests_primary_gg_co2_ha
335,ef_lndu_conv_other_to_forests_secondary_gg_co2_ha
336,ef_lndu_conv_other_to_grasslands_gg_co2_ha
337,ef_lndu_conv_other_to_other_gg_co2_ha
338,ef_lndu_conv_other_to_settlements_gg_co2_ha
339,ef_lndu_conv_other_to_wetlands_gg_co2_ha
340,ef_lndu_conv_settlements_to_croplands_gg_co2_ha
341,ef_lndu_conv_settlements_to_forests_mangroves_gg_co2_ha
342,ef_lndu_conv_settlements_to_forests_primary_gg_co2_ha
343,ef_lndu_conv_settlements_to_forests_secondary_gg_co2_ha
344,ef_lndu_conv_settlements_to_grasslands_gg_co2_ha
345,ef_lndu_conv_settlements_to_other_gg_co2_ha
346,ef_lndu_conv_settlements_to_settlements_gg_co2_ha
347,ef_lndu_conv_settlements_to_wetlands_gg_co2_ha
348,ef_lndu_conv_wetlands_to_croplands_gg_co2_ha
349,ef_lndu_conv_wetlands_to_forests_mangroves_gg_co2_ha
350,ef_lndu_conv_wetlands_to_forests_primary_gg_co2_ha
351,ef_lndu_conv_wetlands_to_forests_secondary_gg_co2_ha
352,ef_lndu_conv_wetlands_to_grasslands_gg_co2_ha
353,ef_lndu_conv_wetlands_to_other_gg_co2_ha
354,ef_lndu_conv_wetlands_to_settlements_gg_co2_ha
355,ef_lndu_conv_wetlands_to_wetlands_gg_co2_ha
356,ef_lsmm_direct_management_anaerobic_digester_n2o_per_n
357,ef_lsmm_direct_management_anaerobic_lagoon_n2o_per_n
358,ef_lsmm_direct_management_composting_n2o_per_n
359,ef_lsmm_direct_management_daily_spread_n2o_per_n
360,ef_lsmm_direct_management_deep_bedding_n2o_per_n
361,ef_lsmm_direct_management_dry_lot_n2o_per_n
362,ef_lsmm_direct_management_incineration_n2o_per_n
363,ef_lsmm_direct_management_liquid_slurry_n2o_per_n
364,ef_lsmm_direct_management_paddock_pasture_range_n2o_per_n
365,ef_lsmm_direct_management_poultry_manure_n2o_per_n
366,ef_lsmm_direct_management_storage_solid_n2o_per_n
367,ef_lvst_entferm_buffalo_kg_ch4_head
368,ef_lvst_entferm_cattle_dairy_kg_ch4_head
369,ef_lvst_entferm_cattle_nondairy_kg_ch4_head
370,ef_lvst_entferm_chickens_kg_ch4_head
371,ef_lvst_entferm_goats_kg_ch4_head
