,fields_input
428,ef_trns_mobile_combustion_road_heavy_regional_kg_ch4_per_tj_biofuels
429,ef_trns_mobile_combustion_road_heavy_regional_kg_ch4_per_tj_diesel
430,ef_trns_mobile_combustion_road_heavy_regional_kg_ch4_per_tj_gasoline
431,ef_trns_mobile_combustion_road_heavy_regional_kg_ch4_per_tj_hydrocarbon_gas_liquids
432,ef_trns_mobile_combustion_road_heavy_regional_kg_ch4_per_tj_natural_gas
433,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_biofuels
434,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_diesel
435,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_gasoline
436,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_hydrocarbon_gas_liquids
437,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_natural_gas
438,ef_trns_mobile_combustion_road_light_kg_ch4_per_tj_biofuels
439,ef_trns_mobile_combustion_road_light_kg_ch4_per_tj_diesel
440,ef_trns_mobile_combustion_road_light_kg_ch4_per_tj_gasoline
441,ef_trns_mobile_combustion_road_light_kg_ch4_per_tj_hydrocarbon_gas_liquids
442,ef_trns_mobile_combustion_road_light_kg_n2o_per_tj_biofuels
443,ef_trns_mobile_combustion_road_light_kg_n2o_per_tj_diesel
444,ef_trns_mobile_combustion_road_light_kg_n2o_per_tj_gasoline
445,ef_trns_mobile_combustion_road_light_kg_n2o_per_tj_hydrocarbon_gas_liquids
446,ef_trns_mobile_combustion_water_borne_kg_ch4_per_tj_diesel
447,ef_trns_mobile_combustion_water_borne_kg_ch4_per_tj_natural_gas
448,ef_trns_mobile_combustion_water_borne_kg_n2o_per_tj_diesel
449,ef_trns_mobile_combustion_water_borne_kg_n2o_per_tj_natural_gas
450,ef_trww_treated_advanced_aerobic_g_n2o_per_g_n
451,ef_trww_treated_advanced_anaerobic_g_n2o_per_g_n
452,ef_trww_treated_latrine_improved_g_n2o_per_g_n
453,ef_trww_treated_latrine_unimproved_g_n2o_per_g_n
454,ef_trww_treated_primary_g_n2o_per_g_n
455,ef_trww_treated_secondary_aerobic_g_n2o_per_g_n
456,ef_trww_treated_secondary_anaerobic_g_n2o_per_g_n
457,ef_trww_treated_septic_g_n2o_per_g_n
458,ef_trww_untreated_no_sewerage_g_n2o_per_g_n
459,ef_trww_untreated_with_sewerage_g_n2o_per_g_n
460,ef_waso_biogas_kg_ch4_per_kg_food
461,ef_waso_biogas_kg_ch4_per_kg_sludge
462,ef_waso_biogas_kg_ch4_per_kg_yard
463,ef_waso_compost_kg_ch4_per_kg_food
464,ef_waso_compost_kg_ch4_per_kg_sludge
465,ef_waso_compost_kg_ch4_per_kg_yard
466,ef_waso_compost_kg_n2o_per_kg_food
467,ef_waso_compost_kg_n2o_per_kg_sludge
468,ef_waso_compost_kg_n2o_per_kg_yard
469,ef_waso_incineration_kg_ch4_per_kg_isw
470,ef_waso_incineration_kg_ch4_per_kg_msw
471,ef_waso_incineration_tonne_n2o_per_tonne_chemical_industrial
472,ef_waso_incineration_tonne_n2o_per_tonne_food
473,ef_waso_incineration_tonne_n2o_per_tonne_glass
474,ef_waso_incineration_tonne_n2o_per_tonne_metal
475,ef_waso_incineration_tonne_n2o_per_tonne_nappies
476,ef_waso_incineration_tonne_n2o_per_tonne_other
477,ef_waso_incineration_tonne_n2o_per_tonne_paper
478,ef_waso_incineration_tonne_n2o_per_tonne_plastic
479,ef_waso_incineration_tonne_n2o_per_tonne_rubber_leather
480,ef_waso_incineration_tonne_n2o_per_tonne_sludge
481,ef_waso_incineration_tonne_n2o_per_tonne_textiles
482,ef_waso_incineration_tonne_n2o_per_tonne_wood
483,ef_waso_incineration_tonne_n2o_per_tonne_yard
484,efficfactor_ccsq_heat_energy_direct_air_capture_geothermal
485,efficfactor_ccsq_heat_energy_direct_air_capture_hydrogen
486,efficfactor_ccsq_heat_energy_direct_air_capture_natural_gas
487,efficfactor_enfu_industrial_energy_fuel_biomass
488,efficfactor_enfu_industrial_energy_fuel_coal
489,efficfactor_enfu_industrial_energy_fuel_coke
490,efficfactor_enfu_industrial_energy_fuel_diesel
491,efficfactor_enfu_industrial_energy_fuel_electricity
492,efficfactor_enfu_industrial_energy_fuel_furnace_gas
493,efficfactor_enfu_industrial_energy_fuel_gasoline
494,efficfactor_enfu_industrial_energy_fuel_hydrocarbon_gas_liquids
495,efficfactor_enfu_industrial_energy_fuel_hydrogen
496,efficfactor_enfu_industrial_energy_fuel_kerosene
497,efficfactor_enfu_industrial_energy_fuel_natural_gas
498,efficfactor_enfu_industrial_energy_fuel_oil
499,efficfactor_enfu_industrial_energy_fuel_solar
500,efficfactor_entc_technology_fuel_use_pp_biogas
501,efficfactor_entc_technology_fuel_use_pp_biomass
502,efficfactor_entc_technology_fuel_use_pp_coal
503,efficfactor_entc_technology_fuel_use_pp_coal_ccs
504,efficfactor_entc_technology_fuel_use_pp_gas
505,efficfactor_entc_technology_fuel_use_pp_gas_ccs
506,efficfactor_entc_technology_fuel_use_pp_geothermal
507,efficfactor_entc_technology_fuel_use_pp_hydropower
508,efficfactor_entc_technology_fuel_use_pp_nuclear
509,efficfactor_entc_technology_fuel_use_pp_ocean
510,efficfactor_entc_technology_fuel_use_pp_oil
511,efficfactor_entc_technology_fuel_use_pp_solar
512,efficfactor_entc_technology_fuel_use_pp_waste_incineration
513,efficfactor_entc_technology_fuel_use_pp_wind
514,efficfactor_entc_technology_fuel_use_st_batteries
515,efficfactor_entc_technology_fuel_use_st_compressed_air
516,efficfactor_entc_technology_fuel_use_st_flywheels
517,efficfactor_entc_technology_fuel_use_st_pumped_hydro
518,efficfactor_scoe_heat_energy_commercial_municipal_coal
519,efficfactor_scoe_heat_energy_commercial_municipal_diesel
520,efficfactor_scoe_heat_energy_commercial_municipal_electricity
521,efficfactor_scoe_heat_energy_commercial_municipal_gasoline
522,efficfactor_scoe_heat_energy_commercial_municipal_hydrocarbon_gas_liquids
523,efficfactor_scoe_heat_energy_commercial_municipal_hydrogen
524,efficfactor_scoe_heat_energy_commercial_municipal_kerosene
525,efficfactor_scoe_heat_energy_commercial_municipal_natural_gas
526,efficfactor_scoe_heat_energy_commercial_municipal_solid_biomass
527,efficfactor_scoe_heat_energy_other_se_coal
528,efficfactor_scoe_heat_energy_other_se_diesel
529,efficfactor_scoe_heat_energy_other_se_electricity
530,efficfactor_scoe_heat_energy_other_se_gasoline
531,efficfactor_scoe_heat_energy_other_se_hydrocarbon_gas_liquids
532,efficfactor_scoe_heat_energy_other_se_hydrogen
533,efficfactor_scoe_heat_energy_other_se_kerosene
534,efficfactor_scoe_heat_energy_other_se_natural_gas
535,efficfactor_scoe_heat_energy_other_se_solid_biomass
536,efficfactor_scoe_heat_energy_residential_coal
537,efficfactor_scoe_heat_energy_residential_diesel
538,efficfactor_scoe_heat_energy_residential_electricity
539,efficfactor_scoe_heat_energy_residential_gasoline
540,efficfactor_scoe_heat_energy_residential_hydrocarbon_gas_liquids
541,efficfactor_scoe_heat_energy_residential_hydrogen
542,efficfactor_scoe_heat_energy_residential_kerosene
543,efficfactor_scoe_heat_energy_residential_natural_gas
544,efficfactor_scoe_heat_energy_residential_solid_biomass
545,elasticity_agrc_bevs_and_spices_demand_to_income
546,elasticity_agrc_cereals_demand_to_income
547,elasticity_agrc_fibers_demand_to_income
548,elasticity_agrc_fruits_demand_to_income
549,elasticity_agrc_herbs_and_other_perennial_crops_demand_to_income
550,elasticity_agrc_nuts_demand_to_income
551,elasticity_agrc_other_annual_demand_to_income
552,elasticity_agrc_other_woody_perennial_demand_to_income
553,elasticity_agrc_pulses_demand_to_income
554,elasticity_agrc_rice_demand_to_income
555,elasticity_agrc_sugar_cane_demand_to_income
556,elasticity_agrc_tubers_demand_to_income
557,elasticity_agrc_vegetables_and_vines_demand_to_income
558,elasticity_gnrl_rate_occupancy_to_gdppc
559,elasticity_ippu_cement_production_to_gdp
560,elasticity_ippu_chemicals_production_to_gdp
561,elasticity_ippu_electronics_production_to_gdp
562,elasticity_ippu_glass_production_to_gdp
563,elasticity_ippu_lime_and_carbonite_production_to_gdp
564,elasticity_ippu_metals_production_to_gdp
565,elasticity_ippu_mining_production_to_gdp
566,elasticity_ippu_paper_production_to_gdp
567,elasticity_ippu_plastic_production_to_gdp
568,elasticity_ippu_product_use_lubricants_product_use_rate_to_gdppc
569,elasticity_ippu_product_use_ods_other_product_use_rate_to_gdppc
570,elasticity_ippu_product_use_ods_refrigeration_product_use_rate_to_gdppc
571,elasticity_ippu_product_use_paraffin_wax_product_use_rate_to_gdppc
572,elasticity_ippu_rubber_and_leather_production_to_gdp
573,elasticity_ippu_textiles_production_to_gdp
574,elasticity_ippu_wood_production_to_gdp
575,elasticity_lvst_buffalo_demand_to_gdppc
576,elasticity_lvst_cattle_dairy_demand_to_gdppc
577,elasticity_lvst_cattle_nondairy_demand_to_gdppc
578,elasticity_lvst_chickens_demand_to_gdppc
579,elasticity_lvst_goats_demand_to_gdppc
580,elasticity_lvst_horses_demand_to_gdppc
581,elasticity_lvst_mules_demand_to_gdppc
582,elasticity_lvst_pigs_demand_to_gdppc
583,elasticity_lvst_sheep_demand_to_gdppc
584,elasticity_protein_in_diet_to_gdppc
585,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc
586,elasticity_scoe_enerdem_per_hh_residential_heat_energy_to_gdppc
587,elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_elec_appliances_to_gdppc
588,elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_heat_energy_to_gdppc
589,elasticity_scoe_enerdem_per_mmmgdp_other_se_elec_appliances_to_gdppc
590,elasticity_scoe_enerdem_per_mmmgdp_other_se_heat_energy_to_gdppc
591,elasticity_trde_mtkm_to_gdp_freight
592,elasticity_trde_pkm_to_gdppc_private_and_public
593,elasticity_trde_pkm_to_gdppc_regional
594,elasticity_waso_msw_to_gdppc_chemical_industrial
595,elasticity_waso_msw_to_gdppc_food
596,elasticity_waso_msw_to_gdppc_glass
597,elasticity_waso_msw_to_gdppc_metal
598,elasticity_waso_msw_to_gdppc_nappies
599,elasticity_waso_msw_to_gdppc_other
600,elasticity_waso_msw_to_gdppc_paper
601,elasticity_waso_msw_to_gdppc_plastic
602,elasticity_waso_msw_to_gdppc_rubber_leather
603,elasticity_waso_msw_to_gdppc_sludge
604,elasticity_waso_msw_to_gdppc_textiles
605,elasticity_waso_msw_to_gdppc_wood
606,elasticity_waso_msw_to_gdppc_yard
607,elecfuelefficiency_trns_aviation_km_per_kwh
608,elecfuelefficiency_trns_powered_bikes_km_per_kwh
609,elecfuelefficiency_trns_public_km_per_kwh
610,elecfuelefficiency_trns_rail_freight_km_per_kwh
611,elecfuelefficiency_trns_rail_passenger_km_per_kwh
612,elecfuelefficiency_trns_road_heavy_freight_km_per_kwh
613,elecfuelefficiency_trns_road_heavy_regional_km_per_kwh
614,elecfuelefficiency_trns_road_light_km_per_kwh
615,elecfuelefficiency_trns_water_borne_km_per_kwh
616,emitinit_ippu_product_use_other_kt_co2
617,energy_intensity_ccsq_direct_air_capture_gj_per_tonne_co2
618,energydensity_enfu_mj_per_litre_fuel_biofuels
619,energydensity_enfu_mj_per_litre_fuel_biogas
620,energydensity_enfu_mj_per_litre_fuel_biomass
621,energydensity_enfu_mj_per_litre_fuel_coal
622,energydensity_enfu_mj_per_litre_fuel_coke
623,energydensity_enfu_mj_per_litre_fuel_crude
624,energydensity_enfu_mj_per_litre_fuel_diesel
625,energydensity_enfu_mj_per_litre_fuel_furnace_gas
626,energydensity_enfu_mj_per_litre_fuel_gasoline
627,energydensity_enfu_mj_per_litre_fuel_hydrocarbon_gas_liquids
628,energydensity_enfu_mj_per_litre_fuel_hydrogen
629,energydensity_enfu_mj_per_litre_fuel_kerosene
630,energydensity_enfu_mj_per_litre_fuel_natural_gas
631,energydensity_enfu_mj_per_litre_fuel_oil
632,energydensity_gravimetric_enfu_gj_per_tonne_fuel_biogas
633,energydensity_gravimetric_enfu_gj_per_tonne_fuel_biomass
634,energydensity_gravimetric_enfu_gj_per_tonne_fuel_coal
635,energydensity_gravimetric_enfu_gj_per_tonne_fuel_coke
636,energydensity_gravimetric_enfu_gj_per_tonne_fuel_hydrocarbon_gas_liquids
637,energydensity_gravimetric_enfu_gj_per_tonne_fuel_hydrogen
638,energydensity_gravimetric_enfu_gj_per_tonne_fuel_nuclear
639,energydensity_gravimetric_enfu_gj_per_tonne_fuel_waste
640,exports_agrc_bevs_and_spices_tonne
641,exports_agrc_cereals_tonne
642,exports_agrc_fibers_tonne
643,exports_agrc_fruits_tonne
644,exports_agrc_herbs_and_other_perennial_crops_tonne
645,exports_agrc_nuts_tonne
646,exports_agrc_other_annual_tonne
647,exports_agrc_other_woody_perennial_tonne
648,exports_agrc_pulses_tonne
649,exports_agrc_rice_tonne
650,exports_agrc_sugar_cane_tonne
651,exports_agrc_tubers_tonne
652,exports_agrc_vegetables_and_vines_tonne
653,exports_enfu_pj_fuel_coal
654,exports_enfu_pj_fuel_crude
655,exports_enfu_pj_fuel_diesel
656,exports_enfu_pj_fuel_electricity
657,exports_enfu_pj_fuel_gasoline
658,exports_enfu_pj_fuel_hydrocarbon_gas_liquids
659,exports_enfu_pj_fuel_hydrogen
660,exports_enfu_pj_fuel_kerosene
661,exports_enfu_pj_fuel_natural_gas
662,exports_enfu_pj_fuel_oil
663,exports_lvst_buffalo
664,exports_lvst_cattle_dairy
665,exports_lvst_cattle_nondairy
666,exports_lvst_chickens
667,exports_lvst_goats
668,exports_lvst_horses
669,exports_lvst_mules
670,exports_lvst_pigs
671,exports_lvst_sheep
672,factor_lndu_soil_carbon_croplands
673,factor_lndu_soil_carbon_forests_mangroves
674,factor_lndu_soil_carbon_forests_primary
675,factor_lndu_soil_carbon_forests_secondary
676,factor_lndu_soil_carbon_grasslands
677,factor_lndu_soil_carbon_other
678,factor_lndu_soil_carbon_settlements
679,factor_lndu_soil_carbon_wetlands
680,factor_lndu_soil_inputs_supremum_without_manure_croplands
681,factor_lndu_soil_management_supremum_croplands
682,factor_lndu_soil_management_supremum_grasslands
683,factor_lndu_soil_management_unimproved_croplands
684,factor_lndu_soil_management_unimproved_grasslands
685,factor_lsmm_n_from_codigestates_anaerobic_digester
686,factor_waso_waste_per_capita_scalar_chemical_industrial
687,factor_waso_waste_per_capita_scalar_food
688,factor_waso_waste_per_capita_scalar_glass
689,factor_waso_waste_per_capita_scalar_metal
690,factor_waso_waste_per_capita_scalar_nappies
691,factor_waso_waste_per_capita_scalar_other
692,factor_waso_waste_per_capita_scalar_paper
693,factor_waso_waste_per_capita_scalar_plastic
694,factor_waso_waste_per_capita_scalar_rubber_leather
695,factor_waso_waste_per_capita_scalar_sludge
696,factor_waso_waste_per_capita_scalar_textiles
697,factor_waso_waste_per_capita_scalar_wood
698,factor_waso_waste_per_capita_scalar_yard
699,frac_agrc_agriculture_production_lost
700,frac_agrc_bevs_and_spices_cl1_temperate
701,frac_agrc_bevs_and_spices_cl1_tropical
702,frac_agrc_bevs_and_spices_cl2_dry
703,frac_agrc_bevs_and_spices_cl2_wet
704,frac_agrc_cereals_cl1_temperate
705,frac_agrc_cereals_cl1_tropical
706,frac_agrc_cereals_cl2_dry
707,frac_agrc_cereals_cl2_wet
708,frac_agrc_combustion_factor_cereals
709,frac_agrc_combustion_factor_other_annual
710,frac_agrc_combustion_factor_pulses
711,frac_agrc_combustion_factor_rice
712,frac_agrc_combustion_factor_tubers
713,frac_agrc_crop_demand_imported_bevs_and_spices
714,frac_agrc_crop_demand_imported_cereals
715,frac_agrc_crop_demand_imported_fibers
716,frac_agrc_crop_demand_imported_fruits
717,frac_agrc_crop_demand_imported_herbs_and_other_perennial_crops
718,frac_agrc_crop_demand_imported_nuts
719,frac_agrc_crop_demand_imported_other_annual
720,frac_agrc_crop_demand_imported_other_woody_perennial
721,frac_agrc_crop_demand_imported_pulses
722,frac_agrc_crop_demand_imported_rice
723,frac_agrc_crop_demand_imported_sugar_cane
724,frac_agrc_crop_demand_imported_tubers
725,frac_agrc_crop_demand_imported_vegetables_and_vines
726,frac_agrc_crop_residues_burned
727,frac_agrc_crop_residues_removed
728,frac_agrc_dry_matter_of_harvest_cereals
729,frac_agrc_dry_matter_of_harvest_other_annual
730,frac_agrc_dry_matter_of_harvest_pulses
731,frac_agrc_dry_matter_of_harvest_rice
732,frac_agrc_dry_matter_of_harvest_tubers
733,frac_agrc_fibers_cl1_temperate
734,frac_agrc_fibers_cl1_tropical
735,frac_agrc_fibers_cl2_dry
736,frac_agrc_fibers_cl2_wet
737,frac_agrc_fruits_cl1_temperate
738,frac_agrc_fruits_cl1_tropical
739,frac_agrc_fruits_cl2_dry
740,frac_agrc_fruits_cl2_wet
741,frac_agrc_herbs_and_other_perennial_crops_cl1_temperate
742,frac_agrc_herbs_and_other_perennial_crops_cl1_tropical
743,frac_agrc_herbs_and_other_perennial_crops_cl2_dry
744,frac_agrc_herbs_and_other_perennial_crops_cl2_wet
745,frac_agrc_initial_area_cropland_bevs_and_spices
746,frac_agrc_initial_area_cropland_cereals
747,frac_agrc_initial_area_cropland_fibers
748,frac_agrc_initial_area_cropland_fruits
749,frac_agrc_initial_area_cropland_herbs_and_other_perennial_crops
750,frac_agrc_initial_area_cropland_nuts
751,frac_agrc_initial_area_cropland_other_annual
752,frac_agrc_initial_area_cropland_other_woody_perennial
753,frac_agrc_initial_area_cropland_pulses
754,frac_agrc_initial_area_cropland_rice
755,frac_agrc_initial_area_cropland_sugar_cane
756,frac_agrc_initial_area_cropland_tubers
757,frac_agrc_initial_area_cropland_vegetables_and_vines
758,frac_agrc_initial_yield_feed_bevs_and_spices
759,frac_agrc_initial_yield_feed_cereals
760,frac_agrc_initial_yield_feed_fibers
761,frac_agrc_initial_yield_feed_fruits
762,frac_agrc_initial_yield_feed_herbs_and_other_perennial_crops
763,frac_agrc_initial_yield_feed_nuts
764,frac_agrc_initial_yield_feed_other_annual
765,frac_agrc_initial_yield_feed_other_woody_perennial
766,frac_agrc_initial_yield_feed_pulses
767,frac_agrc_initial_yield_feed_rice
768,frac_agrc_initial_yield_feed_sugar_cane
769,frac_agrc_initial_yield_feed_tubers
770,frac_agrc_initial_yield_feed_vegetables_and_vines
771,frac_agrc_n_in_above_ground_residue_cereals
772,frac_agrc_n_in_above_ground_residue_other_annual
773,frac_agrc_n_in_above_ground_residue_pulses
774,frac_agrc_n_in_above_ground_residue_rice
775,frac_agrc_n_in_above_ground_residue_tubers
776,frac_agrc_n_in_below_ground_residue_cereals
777,frac_agrc_n_in_below_ground_residue_other_annual
778,frac_agrc_n_in_below_ground_residue_pulses
779,frac_agrc_n_in_below_ground_residue_rice
780,frac_agrc_n_in_below_ground_residue_tubers
781,frac_agrc_no_till_cereals
782,frac_agrc_no_till_fibers
783,frac_agrc_no_till_other_annual
784,frac_agrc_no_till_pulses
785,frac_agrc_no_till_tubers
786,frac_agrc_no_till_vegetables_and_vines
787,frac_agrc_nuts_cl1_temperate
788,frac_agrc_nuts_cl1_tropical
789,frac_agrc_nuts_cl2_dry
790,frac_agrc_nuts_cl2_wet
791,frac_agrc_other_annual_cl1_temperate
792,frac_agrc_other_annual_cl1_tropical
793,frac_agrc_other_annual_cl2_dry
794,frac_agrc_other_annual_cl2_wet
795,frac_agrc_other_woody_perennial_cl1_temperate
796,frac_agrc_other_woody_perennial_cl1_tropical
797,frac_agrc_other_woody_perennial_cl2_dry
798,frac_agrc_other_woody_perennial_cl2_wet
799,frac_agrc_production_lost_sent_to_msw
800,frac_agrc_pulses_cl1_temperate
801,frac_agrc_pulses_cl1_tropical
802,frac_agrc_pulses_cl2_dry
803,frac_agrc_pulses_cl2_wet
804,frac_agrc_rice_cl1_temperate
805,frac_agrc_rice_cl1_tropical
806,frac_agrc_rice_cl2_dry
807,frac_agrc_rice_cl2_wet
808,frac_agrc_sugar_cane_cl1_temperate
809,frac_agrc_sugar_cane_cl1_tropical
810,frac_agrc_sugar_cane_cl2_dry
811,frac_agrc_sugar_cane_cl2_wet
812,frac_agrc_tubers_cl1_temperate
813,frac_agrc_tubers_cl1_tropical
814,frac_agrc_tubers_cl2_dry
815,frac_agrc_tubers_cl2_wet
816,frac_agrc_vegetables_and_vines_cl1_temperate
817,frac_agrc_vegetables_and_vines_cl1_tropical
818,frac_agrc_vegetables_and_vines_cl2_dry
819,frac_agrc_vegetables_and_vines_cl2_wet
820,frac_ccsq_energydem_direct_air_capture_electricity
821,frac_ccsq_energydem_direct_air_capture_heat
822,frac_ccsq_heat_energy_direct_air_capture_geothermal
823,frac_ccsq_heat_energy_direct_air_capture_hydrogen
824,frac_ccsq_heat_energy_direct_air_capture_natural_gas
825,frac_enfu_fuel_demand_imported_pj_fuel_coal
826,frac_enfu_fuel_demand_imported_pj_fuel_crude
827,frac_enfu_fuel_demand_imported_pj_fuel_diesel
828,frac_enfu_fuel_demand_imported_pj_fuel_electricity
829,frac_enfu_fuel_demand_imported_pj_fuel_gasoline
830,frac_enfu_fuel_demand_imported_pj_fuel_hydrocarbon_gas_liquids
831,frac_enfu_fuel_demand_imported_pj_fuel_hydrogen
832,frac_enfu_fuel_demand_imported_pj_fuel_kerosene
833,frac_enfu_fuel_demand_imported_pj_fuel_natural_gas
834,frac_enfu_fuel_demand_imported_pj_fuel_oil
835,frac_enfu_minimum_fuel_to_electricity_fuel_biogas
836,frac_enfu_minimum_fuel_to_electricity_fuel_waste
837,frac_enfu_transmission_loss_fuel_electricity
838,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_biogas
839,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_biomass
840,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_coal
841,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_coal_ccs
842,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_gas
843,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_gas_ccs
844,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_geothermal
845,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_hydropower
846,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_nuclear
847,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_ocean
848,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_oil
849,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_solar
850,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_waste_incineration
851,frac_entc_max_elec_production_increase_to_satisfy_msp_pp_wind
852,frac_fgtv_drained_and_waste_ch4_flared_fuel_coal
853,frac_fgtv_drained_and_waste_ch4_flared_fuel_oil
854,frac_fgtv_reduction_in_fugitive_leaks
855,frac_frst_annual_wildfire_fraction_mangroves
856,frac_frst_annual_wildfire_fraction_primary
857,frac_frst_annual_wildfire_fraction_secondary
858,frac_frst_mangroves_cl1_temperate_nutrient_poor
859,frac_frst_mangroves_cl1_temperate_nutrient_rich
860,frac_frst_mangroves_cl1_tropical
861,frac_frst_primary_cl1_temperate_nutrient_poor
862,frac_frst_primary_cl1_temperate_nutrient_rich
863,frac_frst_primary_cl1_tropical
864,frac_frst_secondary_cl1_temperate_nutrient_poor
865,frac_frst_secondary_cl1_temperate_nutrient_rich
866,frac_frst_secondary_cl1_tropical
867,frac_gnrl_eating_red_meat
868,frac_inen_energy_agriculture_and_livestock_coal
869,frac_inen_energy_agriculture_and_livestock_coke
870,frac_inen_energy_agriculture_and_livestock_diesel
871,frac_inen_energy_agriculture_and_livestock_electricity
872,frac_inen_energy_agriculture_and_livestock_furnace_gas
873,frac_inen_energy_agriculture_and_livestock_gasoline
874,frac_inen_energy_agriculture_and_livestock_hydrocarbon_gas_liquids
875,frac_inen_energy_agriculture_and_livestock_hydrogen
876,frac_inen_energy_agriculture_and_livestock_kerosene
877,frac_inen_energy_agriculture_and_livestock_natural_gas
878,frac_inen_energy_agriculture_and_livestock_oil
879,frac_inen_energy_agriculture_and_livestock_solar
880,frac_inen_energy_agriculture_and_livestock_solid_biomass
881,frac_inen_energy_cement_coal
882,frac_inen_energy_cement_coke
883,frac_inen_energy_cement_diesel
884,frac_inen_energy_cement_electricity
885,frac_inen_energy_cement_furnace_gas
886,frac_inen_energy_cement_gasoline
887,frac_inen_energy_cement_hydrocarbon_gas_liquids
888,frac_inen_energy_cement_hydrogen
889,frac_inen_energy_cement_kerosene
890,frac_inen_energy_cement_natural_gas
891,frac_inen_energy_cement_oil
892,frac_inen_energy_cement_solar
893,frac_inen_energy_cement_solid_biomass
894,frac_inen_energy_chemicals_coal
895,frac_inen_energy_chemicals_coke
896,frac_inen_energy_chemicals_diesel
897,frac_inen_energy_chemicals_electricity
898,frac_inen_energy_chemicals_furnace_gas
899,frac_inen_energy_chemicals_gasoline
900,frac_inen_energy_chemicals_hydrocarbon_gas_liquids
901,frac_inen_energy_chemicals_hydrogen
902,frac_inen_energy_chemicals_kerosene
903,frac_inen_energy_chemicals_natural_gas
904,frac_inen_energy_chemicals_oil
905,frac_inen_energy_chemicals_solar
906,frac_inen_energy_chemicals_solid_biomass
907,frac_inen_energy_electronics_coal
908,frac_inen_energy_electronics_coke
909,frac_inen_energy_electronics_diesel
910,frac_inen_energy_electronics_electricity
911,frac_inen_energy_electronics_furnace_gas
912,frac_inen_energy_electronics_gasoline
913,frac_inen_energy_electronics_hydrocarbon_gas_liquids
914,frac_inen_energy_electronics_hydrogen
915,frac_inen_energy_electronics_kerosene
916,frac_inen_energy_electronics_natural_gas
917,frac_inen_energy_electronics_oil
918,frac_inen_energy_electronics_solar
919,frac_inen_energy_electronics_solid_biomass
920,frac_inen_energy_glass_coal
921,frac_inen_energy_glass_coke
922,frac_inen_energy_glass_diesel
923,frac_inen_energy_glass_electricity
924,frac_inen_energy_glass_furnace_gas
925,frac_inen_energy_glass_gasoline
926,frac_inen_energy_glass_hydrocarbon_gas_liquids
927,frac_inen_energy_glass_hydrogen
928,frac_inen_energy_glass_kerosene
929,frac_inen_energy_glass_natural_gas
930,frac_inen_energy_glass_oil
931,frac_inen_energy_glass_solar
932,frac_inen_energy_glass_solid_biomass
933,frac_inen_energy_lime_and_carbonite_coal
934,frac_inen_energy_lime_and_carbonite_coke
935,frac_inen_energy_lime_and_carbonite_diesel
936,frac_inen_energy_lime_and_carbonite_electricity
937,frac_inen_energy_lime_and_carbonite_furnace_gas
938,frac_inen_energy_lime_and_carbonite_gasoline
939,frac_inen_energy_lime_and_carbonite_hydrocarbon_gas_liquids
940,frac_inen_energy_lime_and_carbonite_hydrogen
941,frac_inen_energy_lime_and_carbonite_kerosene
942,frac_inen_energy_lime_and_carbonite_natural_gas
943,frac_inen_energy_lime_and_carbonite_oil
944,frac_inen_energy_lime_and_carbonite_solar
945,frac_inen_energy_lime_and_carbonite_solid_biomass
946,frac_inen_energy_metals_coal
947,frac_inen_energy_metals_coke
948,frac_inen_energy_metals_diesel
949,frac_inen_energy_metals_electricity
950,frac_inen_energy_metals_furnace_gas
951,frac_inen_energy_metals_gasoline
952,frac_inen_energy_metals_hydrocarbon_gas_liquids
953,frac_inen_energy_metals_hydrogen
954,frac_inen_energy_metals_kerosene
955,frac_inen_energy_metals_natural_gas
956,frac_inen_energy_metals_oil
957,frac_inen_energy_metals_solar
958,frac_inen_energy_metals_solid_biomass
959,frac_inen_energy_mining_coal
960,frac_inen_energy_mining_coke
961,frac_inen_energy_mining_diesel
962,frac_inen_energy_mining_electricity
963,frac_inen_energy_mining_furnace_gas
964,frac_inen_energy_mining_gasoline
965,frac_inen_energy_mining_geothermal
966,frac_inen_energy_mining_hydrocarbon_gas_liquids
967,frac_inen_energy_mining_hydrogen
968,frac_inen_energy_mining_kerosene
969,frac_inen_energy_mining_natural_gas
970,frac_inen_energy_mining_oil
